app_name,task_desc,gpt_gen_result,success,n_actions,soa,related_score,selected
calendar,Add the holidays of South Africa to the calendar and list all the events,Jade Green attempted to add South African holidays to the calendar but did not complete the task.,FAILURE,11,"- ACTION 1: touched on a button that has content_desc ""Settings""
- ACTION 2: touched on a button that has text ""Manage event types""
- ACTION 3: touched on a button that has content_desc ""Add a new type""
- ACTION 4: pressed ""BACK"" button to navigate back
- ACTION 5: touched on a button that has text ""Cancel""
- ACTION 6: touched on a button that has content_desc ""Back""
- ACTION 7: pressed ""BACK"" button to navigate back
- ACTION 8: touched on a button that has content_desc ""More options""
- ACTION 9: touched on a button that has text ""Add holidays""
- ACTION 10: scrolled down on a scrollable area that has text ""Algeria, Argentina, Australia[...and more]""
- ACTION 11: scrolled down on a scrollable area that has text ""Hellas, Hrvatska, India[...and more]""",3,FALSE
calendar,Add the holidays of South Africa to the calendar and list all the events,"Jade Green successfully added the holidays of South Africa to the calendar, but listing all events in 2023 was not explicitly shown in the steps taken.",SUCCESS,7,"- ACTION 1: touched on a button that has content_desc ""More options""
- ACTION 2: touched on a button that has text ""Add holidays""
- ACTION 3: scrolled down on a scrollable area that has text ""Algeria, Argentina, Australia[...and more]""
- ACTION 4: scrolled down on a scrollable area that has text ""Hellas, Hrvatska, India[...and more]""
- ACTION 5: scrolled down on a scrollable area that has text ""日本, Nigeria, Norge[...and more]""
- ACTION 6: touched on a button that has text ""South Africa""
- ACTION 7: touched on a button that has text ""OK""",4,FALSE
calendar,Add the holidays of South Africa to the calendar and list all the events,Jade Green successfully added the holidays of South Africa to the calendar.,SUCCESS,8,"- ACTION 1: touched on a button that has content_desc ""Apps list""
- ACTION 2: touched on a button that has content_desc ""More options""
- ACTION 3: touched on a button that has text ""Add holidays""
- ACTION 4: scrolled down on a scrollable area that has text ""Algeria, Argentina, Australia[...and more]""
- ACTION 5: scrolled down on a scrollable area that has text ""Hellas, Hrvatska, India[...and more]""
- ACTION 6: scrolled down on a scrollable area that has text ""Nigeria, Norge, Österreich[...and more]""
- ACTION 7: touched on a button that has text ""South Africa""
- ACTION 8: touched on a button that has text ""OK""",5,TRUE
calendar,Add all the contacts anniversaries into Calendar,"Jade Green attempted to add contact anniversaries to the Calendar but received a message that no anniversaries were found, even after granting permissions and selecting the appropriate options.",FAILURE,5,"- ACTION 1: touched on a button that has content_desc ""More options""
- ACTION 2: touched on a button that has text ""Add contact anniversaries""
- ACTION 3: touched on a button that has text ""ALLOW""
- ACTION 4: touched on a checkbox that has text ""Add new anniversaries automatically""
- ACTION 5: touched on a button that has text ""OK""",2,FALSE
calendar,Add all the contacts anniversaries into Calendar,"Jade Green attempted to add all contact anniversaries to the Calendar, but was informed that no anniversaries were found in the contacts.",FAILURE,3,"- ACTION 1: touched on a button that has content_desc ""More options""
- ACTION 2: touched on a button that has text ""Add contact anniversaries""
- ACTION 3: touched on a button that has text ""OK""",2,FALSE
calendar,Add all the contacts anniversaries into Calendar,"Jade Green attempted to add all contact anniversaries into the Calendar but was unsuccessful because the app indicated that ""No anniversaries have been found.""",FAILURE,3,"- ACTION 1: touched on a button that has content_desc ""More options""
- ACTION 2: touched on a button that has text ""Add contact anniversaries""
- ACTION 3: touched on a button that has text ""OK""",2,TRUE
calendar,Export the events to test.ics under DCIM folder,Jade Green attempted to export events to a file named test.ics under the DCIM folder but did not reach the appropriate settings or options to do so.,FAILURE,5,"- ACTION 1: touched on a button that has content_desc ""More options""
- ACTION 2: touched on a button that has text ""Settings""
- ACTION 3: pressed ""BACK"" button to navigate back
- ACTION 4: long touched on a button that has content_desc ""More options""
- ACTION 5: touched on a button that has content_desc ""More options""",1,FALSE
calendar,Export the events to test.ics under DCIM folder,Jade Green attempted to export events to a file named test.ics under the DCIM folder but did not reach the appropriate settings or options to do so.,FAILURE,5,"- ACTION 1: touched on a button that has content_desc ""More options""
- ACTION 2: touched on a button that has text ""Settings""
- ACTION 3: pressed ""BACK"" button to navigate back
- ACTION 4: long touched on a button that has content_desc ""More options""
- ACTION 5: touched on a button that has content_desc ""More options""",1,FALSE
calendar,Export the events to test.ics under DCIM folder,Jade Green attempted to export events to a file named test.ics under the DCIM folder but did not reach the appropriate settings or options to do so.,FAILURE,5,"- ACTION 1: touched on a button that has content_desc ""More options""
- ACTION 2: touched on a button that has text ""Settings""
- ACTION 3: pressed ""BACK"" button to navigate back
- ACTION 4: long touched on a button that has content_desc ""More options""
- ACTION 5: touched on a button that has content_desc ""More options""",1,TRUE
camera,move the last photo i took to folder 'movies' in sd card,"Jade Green successfully moved the last photo taken to the 'movies' folder on the SD card. However, there were some unnecessary steps involved in the process.",SUCCESS,8,"- ACTION 1: touched on a button that has content_desc ""View last captured media""
- ACTION 2: touched on a button that has content_desc ""More options""
- ACTION 3: touched on a button that has text ""Move to""
- ACTION 4: touched on a button that has text ""Other folder""
- ACTION 5: touched on a button that has text ""Internal""
- ACTION 6: touched on a button that has text ""SD Card""
- ACTION 7: touched on a button that has text ""Movies, 0 items""
- ACTION 8: touched on a button that has text ""OK""",7,FALSE
