app_name,task_desc,gpt_gen_result,success,n_actions,soa,related_score,selected
applauncher,Change column count to 3,Jade Green successfully changed the column count to 3 in the App Launcher.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Column count""
- ACTION 3: Jade Green touched on a button that has text ""3 columns""",3,TRUE
applauncher,Change column count to 3,Jade Green successfully changed the column count to 3 in the App Launcher.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Column count""
- ACTION 3: Jade Green touched on a button that has text ""3 columns""",3,FALSE
applauncher,Change column count to 3,Jade Green successfully changed the column count to 3 in the App Launcher.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Column count""
- ACTION 3: Jade Green touched on a button that has text ""3 columns""",3,FALSE
applauncher,Change theme color to light,Jade Green successfully changed the theme color to light in the App Launcher.,SUCCESS,7,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Settings""
- ACTION 3: Jade Green touched on a button that has text ""Customize colors""
- ACTION 4: Jade Green touched on a button that has text ""Theme, Dark""
- ACTION 5: Jade Green touched on a button that has text ""OK""
- ACTION 6: Jade Green touched on a button that has text ""Light""
- ACTION 7: Jade Green touched on a button that has content_desc ""Save""",1,TRUE
applauncher,Change theme color to light,Jade Green successfully changed the theme color to light in the App Launcher.,SUCCESS,7,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Settings""
- ACTION 3: Jade Green touched on a button that has text ""Customize colors""
- ACTION 4: Jade Green touched on a button that has text ""Theme, Dark""
- ACTION 5: Jade Green touched on a button that has text ""OK""
- ACTION 6: Jade Green touched on a button that has text ""Light""
- ACTION 7: Jade Green touched on a button that has content_desc ""Save""",1,FALSE
applauncher,Change theme color to light,Jade Green successfully changed the theme color to light in the App Launcher.,SUCCESS,7,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Settings""
- ACTION 3: Jade Green touched on a button that has text ""Customize colors""
- ACTION 4: Jade Green touched on a button that has text ""Theme, Dark""
- ACTION 5: Jade Green touched on a button that has text ""OK""
- ACTION 6: Jade Green touched on a button that has text ""Light""
- ACTION 7: Jade Green touched on a button that has content_desc ""Save""",1,FALSE
applauncher,Disable closing this app when launching a different one,Jade Green successfully toggle closing this app when launching a different one.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Settings""
- ACTION 3: Jade Green touched on a checked checkbox that has text ""Close this app at launching a different one""",6,TRUE
applauncher,Disable closing this app when launching a different one,Jade Green successfully toggle closing this app when launching a different one.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Settings""
- ACTION 3: Jade Green touched on a checked checkbox that has text ""Close this app at launching a different one""",6,FALSE
applauncher,Disable closing this app when launching a different one,Jade Green successfully toggle closing this app when launching a different one.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""More options""
- ACTION 2: Jade Green touched on a button that has text ""Settings""
- ACTION 3: Jade Green touched on a checked checkbox that has text ""Close this app at launching a different one""",6,FALSE
applauncher,Search 'Clock' app and open it,Jade Green success fully open clock.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has resource_id ""com.simplemobiletools.applauncher:id/top_toolbar_search_icon""
- ACTION 2: Jade Green filled a focused textfield that has text ""Search"" with the text ""Clock""
- ACTION 3: Jade Green touched on a button that has text ""Clock""",1,TRUE
applauncher,Search 'Clock' app and open it,Jade Green success fully open clock.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has resource_id ""com.simplemobiletools.applauncher:id/top_toolbar_search_icon""
- ACTION 2: Jade Green filled a focused textfield that has text ""Search"" with the text ""Clock""
- ACTION 3: Jade Green touched on a button that has text ""Clock""",1,FALSE
applauncher,Search 'Clock' app and open it,Jade Green success fully open clock.,SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has resource_id ""com.simplemobiletools.applauncher:id/top_toolbar_search_icon""
- ACTION 2: Jade Green filled a focused textfield that has text ""Search"" with the text ""Clock""
- ACTION 3: Jade Green touched on a button that has text ""Clock""",1,FALSE
applauncher,Sort apps by title in descending order,"Jade Green successfully sorted the apps by title in descending order using the ""Sort by"" functionality.",SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""Sort by""
- ACTION 2: Jade Green touched on a button that has text ""Descending""
- ACTION 3: Jade Green touched on a button that has text ""OK""",3,TRUE
applauncher,Sort apps by title in descending order,"Jade Green successfully sorted the apps by title in descending order using the ""Sort by"" functionality.",SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""Sort by""
- ACTION 2: Jade Green touched on a button that has text ""Descending""
- ACTION 3: Jade Green touched on a button that has text ""OK""",3,FALSE
applauncher,Sort apps by title in descending order,"Jade Green successfully sorted the apps by title in descending order using the ""Sort by"" functionality.",SUCCESS,3,"- ACTION 1: Jade Green touched on a button that has content_desc ""Sort by""
- ACTION 2: Jade Green touched on a button that has text ""Descending""
- ACTION 3: Jade Green touched on a button that has text ""OK""",3,FALSE
calendar,Add all my contacts' birthdays into the calendar,Jade Green successfully added John Doe's birthday to the calendar but encountered difficulties due to repeated actions and missing steps initially.,SUCCESS,13,"- ACTION 1: Jade Green touched on a button that has content_desc ""New Event""
- ACTION 2: Jade Green touched on a button that has content_desc ""New Event""
- ACTION 3: Jade Green filled a focused textfield that has text ""Title"" with the text ""John Doe's Birthday""
- ACTION 4: Jade Green touched on a button that has text ""September 10 (Tue)""
- ACTION 5: Jade Green touched on a checked, selected button that has text ""10""
- ACTION 6: Jade Green touched on a button that has text ""OK""
- ACTION 7: Jade Green touched on a button that has content_desc ""Save""
- ACTION 8: Jade Green touched on a button that has content_desc ""New Event""
- ACTION 9: Jade Green touched on a button that has text ""Event""
- ACTION 10: Jade Green touched on a button that has text ""September 10 (Tue)""
- ACTION 11: Jade Green touched on a button that has text ""OK""
- ACTION 12: Jade Green touched on a button that has content_desc ""Save""
- ACTION 13: Jade Green filled a focused textfield that has text ""Title"" with the text ""John Doe's Birthday""",0,FALSE
